Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefono
Discoteca Bruno Rago,Montevideo,Montevideo,Carabelas 2971 Montevideo Montevideo Department Uruguay Montevideo Department 11800 · ~14 km,0:00:00,23:59:59,https://www.facebook.com/discotecabrunorago/,,,Servicios para fiestas y eventos.,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-6/305568242_543219147553292_1182312212563737798_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeH3hxUBb-j4kFUMc1SuB_VV5l-ytflzf5LmX7K1-XN_kpsWbZz637b-r5AlHr_5vDuSiST4FIWrdw-ANKw2yxiz&_nc_ohc=gqVpiPhHS5UAX-zsW3W&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfD_YBNHx7AZKmPXtsT8RQWqzIAtsl4njR9G70ft4kA-2g&oe=63D24A4F,3487219,5618557,Ambos,Todas,Grupos,0,,Discoteca,98238194
Discoteca elite Living Experiences,Montevideo,Montevideo,11700 Montevideo Montevideo Department · ~18 km,9:00:00,20:00:00,https://www.facebook.com/discotecaelite/,,http://www.e-lite.com.uy/,Discoteca ideal para fiestas y eventos.,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-6/304688828_389851833313755_9016713508609082254_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeHrupJWn7xExHx5hRyMnNLHYRXZ8WWkd55hFdnxZaR3nv56EI26HWJGObShnkh-01nPTz286ogweTAUi6YExyqo&_nc_ohc=KKmzC3wRJUkAX8iPa-6&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfDsSgj5IH63FoiZ5Zo9jxowpDYd_uJbRIb3LfndFv1qEQ&oe=63D25CE3,3486208,5622033,Ambos,Todas,Grupos,1,,Discoteca,99660607
Discoteca para eventos,Montevideo,Montevideo,Porongos 2480 11800 Montevideo Departamento de Montevideo Uruguay · ~25 km,13:00:00,21:30:00,https://www.facebook.com/Fotografossociales/,https://www.instagram.com/fotografootero/,https://www.fiestas.otero.uy/discoteca-para-cumpleanos/,Discoteca para eventos.,https://i0.wp.com/www.fiestas.otero.uy/wp-content/uploads/2022/06/discoteca.webp?resize=825%2C465&ssl=1,3488786,5618432,Ambos,Todas,Grupos,2,,Discoteca,98440564
UnoEventos Discoteca Y Eventos,Montevideo,Montevideo,11200 Montevideo Montevideo Department · ~67 km,0:00:00,23:59:59,https://www.facebook.com/UnoEventosDiscoteca/,https://www.instagram.com/unoeventosuy/,,Discoteca y eventos.,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-6/311293737_420066163635540_3388482781606200844_n.png?stp=dst-png_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeGdb93dsS8Rt5Mrm18bXbROCF1id1af13wIXWJ3Vp_XfJFz_Ummh5NQhvsOY9X1p7599FuuVdi-IcXB1EoUplm6&_nc_ohc=Naxx1C9eNwsAX8r6GQf&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfC3yoA4kfEo4kG-SVU5qVC6M3AW9u62Q7FodMHS0MtiJA&oe=63D281B4,3473256,5609257,Espacio cerrado,Todas,Grupos,3,,Discoteca,98815261
Black and white discoteca,Montevideo,Montevideo,Montevideo Montevideo Department · ~63 km,0:00:00,23:59:59,https://www.facebook.com/dvjluchobarrios/,,,Discoteca 24 horas.,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-1/234267239_4233250430097879_2947942000898271845_n.jpg?stp=c5.0.320.320a_dst-jpg_p320x320&_nc_cat=108&ccb=1-7&_nc_sid=c6021c&_nc_eui2=AeGIrmiKBO71UDK-C13VgtJy3NNY_avXdeXc01j9q9d15cryrzTxF5YaaQjYqK8q9HlNHuVFv1SPvZawOdBJU1Mm&_nc_ohc=of_Jx3KA5OQAX9MkJER&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfDQd0IA-oWFRokYcSzbod4XA5ipX-AX6Zn7DNl3YrD7LQ&oe=63D0AF0C,3473256,5609257,Espacio cerrado,Mayores,Grupos,4,,Discoteca,97967391
GEMA Discoteca,Montevideo,Montevideo,12500 Sargentos patricios 1331 Montevideo Montevideo Department · ~57 km,0:00:00,23:59:59,https://www.facebook.com/gemadiscoteca/,,,SERVICIO DE DISCOTECA PROFESIONAL AUDIO LUCES PANTALLA EFECTOS CABEZAS MÓVILES HUMO,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-6/295499514_1749164712090731_4337952477348763665_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeHjaaskzQ2HBymmoNi1JnKc9iT2gvH04_X2JPaC8fTj9QHiffZxNWevUfcCwYA2k0tO5LIOZGOs_SU49kCRBRkX&_nc_ohc=VW03sd9ypsIAX9eUhwk&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfCa78r9twiRiR5e4KhC_DxLH9BFYan6mMDGISF00kDJaw&oe=63D0AAB7,3481849,5622891,Espacio cerrado,,Grupos,5,,Discoteca,95266994
Discoteca elite living experiences,Montevideo,Montevideo,Av. Gral. Rivera 4727 11400 Montevideo Departamento de Montevideo Uruguay · ~72 km,9:00:00,20:00:00,https://www.facebook.com/discotecaelite/,https://www.instagram.com/discotecae.lite/?hl=es-la,http://www.e-lite.com.uy/,Discoteca con las mejores experiencias.,http://www.e-lite.com.uy/images/background5.jpg,3489075,5610989,Espacio cerrado,Mayores,Grupos,6,,Discoteca,99660607
Stereo Club,Montevideo,Montevideo,Convención 1342 11100 Montevideo Montevideo Department · ~54 km,0:00:00,23:59:59,https://www.facebook.com/stereoclubmvd/,,,Stereo Club de discoteca.,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-6/302319733_481256310675645_4318124281066125322_n.jpg?stp=dst-jpg_p960x960&_nc_cat=108&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeGowTAKuJms5oGAReobfRjkm-QTw5Xxk1Gb5BPDlfGTUbnssrcMyBDVuq0qoBUzqjaG8NT6J4dia8MW10xEIXMp&_nc_ohc=IuGig6vf2-kAX8wM6N2&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfBB63eH1T7sbCDnW005UGVKzOtYwo--j4ph7i_TCluLNw&oe=63D16B1B,3489075,5610989,Espacio cerrado,Mayores,Grupos,7,,Discoteca,29045942
Club 69,Montevideo,Montevideo,José L. Terra 2586 11800 Montevideo Departamento de Montevideo Uruguay · ~22 km,0:00:00,23:59:59,https://www.facebook.com/tiendaclub69,,https://www.elclub69.com/,Club para mayores de edad.,https://www.bing.com/th?id=AOpIpJn69%2fSC5dw480x360&w=180&h=200&c=7&rs=1&qlt=80&cdv=1&dpr=1.3&pid=Local,3488049,5618259,Ambos,Mayores,Grupos,8,,Discoteca,0
Ibiza Mega Disco,Montevideo,Montevideo,1493 Avenida General Rondeau Montevideo Montevideo 11100 · ~49 km,0:00:00,23:59:59,,,,Fiesta 24 horas.,,3490337,5619401,Ambos,Mayores,Grupos,Megusta,,Discoteca,29017643
Golden Night Club,Montevideo,Montevideo,Bartolomé Mitre #1321 11100 Montevideo Montevideo Department · ~56 km,23:00:00,6:00:00,https://www.facebook.com/GoldenTumiBolicheUY/,,,Una noche de oro.,,3490635,5620919,Espacio cerrado,Mayores,Grupos,9,,Discoteca,94928816
Lotus Club,Montevideo,Montevideo,Cr. Luis E Lecueder Montevideo 11300 · ~61 km,0:00:00,23:59:59,https://www.facebook.com/Lotus.Club.Mdeo/,https://www.instagram.com/lotusuy/,http://www.lotus.com.uy/,Club de baile nocturno.,http://www.lotus.com.uy/images/sabado/2.jpg,3490444,5613871,Espacio cerrado,Mayores,Grupos,0,,Discoteca,26281379
LAMBAZOUK MONTEVIDEO,Montevideo,Montevideo,Eduardo Víctor Haedo 2233 11200 Montevideo Departamento de Montevideo Uruguay · ~41 km,0:00:00,23:59:59,,,,Discoteca nocturna.,,3489756,5617246,Ambos,Mayores,Grupos,1,,Discoteca,0
Divas Le Club,Montevideo,Montevideo,Buxareo 1231 11300 Montevideo Departamento De Montevideo Uruguay Montevideo Montevideo 11100 · ~59 km,0:00:00,23:59:59,,,https://divasplay.com/,Servicio para mayores de edad.,,3490700,5614724,Ambos,Mayores,Grupos,2,,Discoteca,29013223
Mandarine,Montevideo,Montevideo,Avenida Atilio Pelossi 11700 Montevideo Montevideo Department · ~24 km,23:00:00,6:45:00,https://www.facebook.com/MandarineClubUy/,https://www.instagram.com/fiestasmvd/,https://fiestasmvd.com/,Baile nocturno.,https://th.bing.com/th/id/AeTjLIQEeFZUveQ480x360?&rs=1&pid=ImgDet,3486004,5620205,Espacio cerrado,Mayores,Grupos,3,,Discoteca,98816400
Club De Anita,Montevideo,Montevideo,Agraciada 2385 Aguada Montevideo 11800 · ~21 km,0:00:00,23:59:59,,,,Club nocturno,,3488723,5619142,Ambos,Mayores,Grupos,4,,Discoteca,29243070
Macarena Barra Tierra,Montevideo,Montevideo,Juncal 1471 11000 Montevideo Montevideo Department,0:00:00,6:00:00,https://www.facebook.com/macarenabarratierra/,https://www.instagram.com/macarena_club/,,Baile nocturno,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/277769408_2363597507110675_4444595080057331782_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeEESNtrpoY12JD2-lfmIe9-gAOW3CaW2WKAA5bcJpbZYpRaLNeNkxwlM_fd7BzSAhTWZ0k72xEOEjaNZM-UmF3F&_nc_ohc=XER-KJLuON8AX-Ru8Ge&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfCOjm1PkljJ3yDKSuvJ0hsok1HVa-u7ZoVIEgBE5G3OIA&oe=63D13AAA,3490416,5620402,Espacio cerrado,Mayores,Grupos,5,,Discoteca,94021202
La Trasnochada,Montevideo,Montevideo,Hermanos Gil 1151 11700 Montevideo Departamento de Montevideo Uruguay · ~27 km,0:00:00,23:59:59,,,,Espacio noscturno,,3487059,5620003,Ambos,Mayores,Grupos,6,,Discoteca,0
Doña Marta,Montevideo,Montevideo,Canelones 1961 Montevideo Montevideo 11213 · ~32 km,21:00:00,6:00:00,https://www.facebook.com/DMartaUY/,https://www.instagram.com/dmartabar/,,Espacio noscturno,https://th.bing.com/th/id/ABohJhUuYb3pWuw480x360?&rs=1&pid=ImgDet,3490730,5617505,Espacio cerrado,Mayores,Grupos,7,,Discoteca,98461401
El Bacilon Pub,Montevideo,Montevideo,Gabriel Pereira 3242 11300 Montevideo Departamento de Montevideo Uruguay,0:00:00,23:59:59,,,,Espacio noscturno,,349104,5614912,Espacio cerrado,Mayores,Grupos,8,,Discoteca,99000000
Club de Humoristas Vagabundos,Montevideo,Montevideo,3921 Iberia Montevideo Uruguay · ~45 km,0:00:00,23:59:59,https://m.facebook.com/profile.php?id=100003605777399,,,Club de humoristas nocturnos.,https://m.facebook.com/photo.php?fbid=1514518725344972&id=100003605777399&set=a.131941953602663&eav=AfYPGmWjvmeEr_n7zzW600DW7iprJExTqXoWUdLDcZ0OlhEkU4naVFzAWGZsMX_IW8Y&paipv=0&source=44&refid=17,348435,5615019,Espacio cerrado,Mayores,Grupos,9,,Discoteca,0
