Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefono
Circo Delanube,Montevideo,Montevideo,Luis Alberto de Herrera 4047 app4,08:30:00,18:30:00,https://www.facebook.com/CircoDeLaNube/,https://www.instagram.com/circodelanube/?hl=es,https://circodelanube.com/,Circo DeLaNube presenta su show de circo tradicional,3486207,5625457,Espacio cerrado,Todas,Familia,1200,Circo,91086860
Entropia Galpon de Circo,Montevideo,Montevideo,Profesor Carlos Bacigalupi 2094,10:00:00,22:00:00,https://www.facebook.com/entropiacirco/?locale=es_LA,https://www.instagram.com/entropia_circo/?hl=es,https://culturaenlinea.uy/espacio/1627/,Entropia Galpon de Circo es un Centro Cultural creado por jovenes artistas para fomentar el desarrollo de las Artes Escenicas.,3486207,5625457,Espacio cerrado,Todas,Grupo,3456,Circo,11111111
Compania Circomedia Uruguay,Montevideo,Montevideo,Camino Soriano 888,11:30:00,21:00:00,https://facebook.com/circomediauruguay,https://www.instagram.com/circomediauy/,https://www.circomediauruguay.com/,Nos apasiona lo que hacemos.Estamos convencidas de que las Pasiones se toman en serio,3486206,5625457,Espacio cerrado,Todas,Grupo,1236,Circo,93938141
El Picadero,Montevideo,Montevideo,Uruguayana 3836,10:00:00,20:00:00,https://www.facebook.com/galponelpicadero/?locale=es_LA,,http://elpicadero.org.uy/,"Somos una organizacion de cultura comunitaria que busca promover y difundir el circo en el Uruguay desde su dimension artistica, recreativa y como herramienta de transformacion social.",3486206,5625457,Espacio cerrado,Todas,Grupo,345,Circo,98864378
Circoniriko,Montevideo,Montevideo,Luis Brandi 6738,10:00:00,21:30:00,https://www.facebook.com/circoniriko/,,https://nicelocal.uy/montevideo/entertainment/circoniriko/,"Circo lleno de geniales artistas, para que disfruten en familia o con amigos.",3486206,5625457,Espacio cerrado,Todas,Grupo,567,Circo,91207966
Juego Calesita Espacial,Montevideo,Montevideo,Bulevar Artigas 1111,10:00:00,21:30:00,,,,Juego de calesita a nivel espacial,3491310,5623351,Espacio cerrado,Todas,Familia,123,Calesita,11111111
Juegos del Parque Rodo,Montevideo,Montevideo,Requena Garcia S N Entre Sarmiento y Rambla,16:30:00,12:30:00,https://www.facebook.com/parquerodotuparque/,https://www.instagram.com/parque_rodo/?hl=es,https://www.parquerodotuparque.com/,Calesita del parque rodo,3491310,5623351,Ambos,Todas,Grupo,340,Calesita,27115980
Parque Batlle Atracciones Infantiles,Montevideo,Montevideo,Avenida Dr Federico Vidiella 1111,00:00:00,23:59:59,https://www.facebook.com/people/Juegos-Infantiles-Parque-Batlle/100063493269930/,,http://www.montevideo.gub.uy/,Atracciones del parque batlle,3474053,5622360,Al aire libre,Todas,Familia,450,Calesita,94407674
Parque Infantil los aliados,Montevideo,Montevideo,8 de octubre 2840,10:00:00,22:00:00,https://m.facebook.com/profile.php?id=100063493269930&eav=AfbNJ9QE3_txQ4s9syRGcQyeXQrSISvTMb2DWcVxEL58YTsD2wvP3JYvcefkh1Sw-D4&sk=about&_rdr,,https://www.formontevideolovers.com/es/mejores/parques-ninos-montevideo,Calesita del parque los aliados,3474053,5622360,Al aire libre,Todas,Familia,1825,Calesita,11111111
Parque Jose Enrique Rodo,Montevideo,Montevideo,Avenida Julio Herrera y Reissig,00:00:00,23:59:59,,,http://montevideo.gub.uy/,Calesita del parque jose enrique rodo,3474053,5622362,Al aire libre,Todas,Familia,2365,Calesita,24107194
Parque Rodo Infantil,Montevideo,Montevideo,Bulevar Artigas 1000,17:30:00,22:00:00,,,https://montevideo.gub.uy/noticias/urbanismo-y-obras/renovaremos-espacio-infantil-del-parque-rodo,Calesita infantil del parque rodo,3487594,5647955,Al aire libre,Todas,Familia,235,Calesita,24008912
Parque Prado,Montevideo,Montevideo,Rambla Delmira Agustini 1001,00:00:00,23:59:59,,,https://visitaruruguay.com/montevideo/parque-prado/,Calesita del prado,3487594,5647955,Al aire libre,Todas,Familia,932,Calesita,11111111
Parque Jose Batlle y Ordonez (ex Parque de los Aliados),Montevideo,Montevideo,Avenida Doctor Lorenzo Merola ,00:00:00,23:59:59,,,https://municipioch.montevideo.gub.uy/,Calesita de propios,3487594,5647955,Al aire libre,Todas,Familia,689,Calesita,11111111
Play Land,Montevideo,Montevideo,Solano Garcia 2466,10:00:00,22:00:00,,,https://es.foursquare.com/v/playland/4bccbcfa68f976b0cf2d6383,Calesita para play en la land,3487594,5647955,Espacio cerrado,Todas,Grupo,482,Calesita,11111111
Parque Franklin Delano Roosevelt (Parque de los Derechos),Montevideo,Montevideo,Avenida a la Playa 16 Ciudad de la Costa,00:00:00,23:59:59,,,https://parquedelosderechos.imcanelones.gub.uy/,Calesita del parque Rosevelt,3487594,5647955,Al aire libre,Todas,Grupo,488,Calesita,11111111
URUSLOTS,Montevideo,Montevideo,Limburgo 1362,09:00:00,17:00:00,,,http://www.uruslots.com/,Maquinita del Uruguay,3474008,5637911,Espacio cerrado,Todas,Grupo,259,Maquinitas,26018234
