Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefono
Discoteca Bruno Rago,Montevideo,Montevideo,Carabelas 2971,00:00:00,23:59:59,https://www.facebook.com/discotecabrunorago/,,,Servicios para fiestas y eventos.,3487219,5618557,Ambos,Todas,Grupo,255,Discoteca,98238194
Discoteca elite Living Experiences,Montevideo,Montevideo,Aires puros,09:00:00,20:00:00,https://www.facebook.com/discotecaelite/,,http://www.e-lite.com.uy/,Discoteca ideal para fiestas y eventos.,3486208,5622033,Ambos,Todas,Grupo,134,Discoteca,99660607
Discoteca para eventos,Montevideo,Montevideo,Porongos 2480,13:00:00,21:30:00,https://www.facebook.com/Fotografossociales/,https://www.instagram.com/fotografootero/,https://www.fiestas.otero.uy/discoteca-para-cumpleanos/,Discoteca para eventos.,3488786,5618432,Ambos,Todas,Grupo,239,Discoteca,98440564
UnoEventos Discoteca Y Eventos,Montevideo,Montevideo,Palermo,00:00:00,23:59:59,https://www.facebook.com/UnoEventosDiscoteca/,https://www.instagram.com/unoeventosuy/,,Discoteca y eventos.,3473256,5609257,Espacio cerrado,Todas,Grupo,9246,Discoteca,98815261
Black and white discoteca,Montevideo,Montevideo,Sarmiento e Ibiray,00:00:00,23:59:59,https://www.facebook.com/dvjluchobarrios/,,,Discoteca 24 horas.,3473256,5609257,Espacio cerrado,Mayores,Grupo,402,Discoteca,97967391
Gema Discoteca,Montevideo,Montevideo,Sargentos patricios 1331,00:00:00,23:59:59,https://www.facebook.com/gemadiscoteca/,,,Servicio de discoteca profesional audio luces pantalla efectos cabezas móviles humo,3481849,5622891,Espacio cerrado,Todas,Grupo,240,Discoteca,95266994
Discoteca elite living experiences,Montevideo,Montevideo,Avenida General Rivera 4727,09:00:00,20:00:00,https://www.facebook.com/discotecaelite/,https://www.instagram.com/discotecae.lite/?hl=es-la,http://www.e-lite.com.uy/,Discoteca con las mejores experiencias.,3489075,5610989,Espacio cerrado,Mayores,Grupo,390,Discoteca,99660607
Stereo Club,Montevideo,Montevideo,Convencion 1342,00:00:00,23:59:59,https://www.facebook.com/stereoclubmvd/,,,Stereo Club de discoteca.,3489075,5610989,Espacio cerrado,Mayores,Grupo,3754,Discoteca,29045942
Club 69,Montevideo,Montevideo,Jose La Terra 2586 ,00:00:00,23:59:59,https://www.facebook.com/tiendaclub69,,https://www.elclub69.com/,Club para mayores de edad.,3488049,5618259,Ambos,Mayores,Grupo,316,Discoteca,11111111
Ibiza Mega Disco,Montevideo,Montevideo,Avenida General Rondeau 1493 ,00:00:00,23:59:59,,,,Fiesta 24 horas.,3490337,5619401,Ambos,Mayores,Grupo,172,Discoteca,29017643
