Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Calificaciones,TvCable,Piscina,Wifi,AireAcondicionado,BanoPrivado,Casino,Bar,Restaurante,Desayuno,Mascota,Telefono
Cala di Volpe Boutique Hotel,Montevideo,Montevideo,Rambla Gandhi  Esquina Parva Domus,00:00:00,00:00:00,https://www.facebook.com/crystalpalacehotelmvd/,,https://www.hotelcaladivolpe.com.uy/,Este hotel de lujo se encuentra en una zona de playa de Montevideo y ofrece habitaciones con vistas al mar conexion WiFi gratuita y un gimnasio con vistas panoramicas sauna una piscina de hidromasaje y sesiones de masaje bajo reserva.,3492617,5615772,Espacio cerrado,Todas,Familia,120,Hotel,4,1,1,1,1,1,0,1,1,1,0,27102000
Crystal Palace Hotel,Montevideo,Montevideo,Av. 18 De Julio 1210,00:00:00,00:00:00,,,https://www.crystalpalacehotel.com.uy/,El Crystal Palace Hotel se encuentra en la avenida 18 de Julio en Montevideo y ofrece habitaciones con aire acondicionado y WiFi gratuita. Tambien alberga un restaurante de cocina regional. Todos los dias se sirve un desayuno.,3490558,5618991,Espacio cerrado,Todas,Familia,100,Hotel,4,1,1,1,1,1,1,1,1,1,0,29004645
Vivaldi Hotel Loft Punta Carretas,Montevideo,Montevideo,Blanca del Tabaré 2903,00:00:00,00:00:00,https://www.facebook.com/VivaldiHotelLoft/?locale=es_LA,https://www.instagram.com/vivaldihotel/?hl=es,https://www.vivaldihotel.uy/,El Vivaldi Hotel Loft Punta Carretas se encuentra en Montevideo y ofrece habitaciones elegantes con comodidades modernas WiFi gratuita y decoracion contamporanea. Alberga una piscina al aire libre y un centro de fitness y sirve un desayuno cada manana.,3492016,5615664,Espacio cerrado,Todas,Familia,100,Hotel,4,1,1,1,1,1,0,1,1,1,0,27140000
Mercure Montevideo Punta Carretas,Montevideo,Montevideo,Rambla Gandhi 371,00:00:00,00:00:00,,,https://mercuremontevideopuntacarretas.comhotel.com/es/,El Mercure Montevideo Punta Carretas presenta una decoracion elegante y vistas a la bahia de Montevideo. Dispone de centro de fitness y zona de estar elegante. La conexion WiFi es gratuita y el restaurante sirve deliciosos platos gourmet para cenar.,3492492,5615553,Espacio cerrado,Todas,Familia,120,Hotel,4,1,1,1,1,1,1,1,1,1,0,27161114
Dazzler by Wyndham Montevideo,Montevideo,Montevideo,21 de Setiembre 2752 Punta Carretas,00:00:00,00:00:00,,,https://dazzlermontevideo.com/,El Dazzler by Wyndham Montevideo se encuentra en Montevideo y ofrece piscina al aire libre centro de fitness spa WiFi gratuita y desayuno buffet. El establecimiento esta situado en el barrio de Punta Carretas rodeado de una zona comercial con restaurantes y lugares de interés cultural. El establecimiento se halla a 500 metros del paseo marítimo y a 3 km del centro historico.,3491765,5615736,Espacio cerrado,Todas,Familia,250,Hotel,4,1,1,1,1,1,1,1,1,1,0,27160000
Hotel Palacio,Montevideo,Montevideo,Bartolomé Mitre 1364,00:00:00,00:00:00,https://www.facebook.com/hotelpalaciomontevideo/?locale=es_LA,,https://hotelpalacio.com.uy/,El Hotel Palacio se encuentra en el centro de Montevideo a solo 200 metros del teatro Solís y ofrece habitaciones con conexion WiFi gratuita y TV por cable. El mercado del puerto esta situado a 1 km en el casco antiguo.,3490614,5620209,Espacio cerrado,Todas,Familia,80,Hotel,4,1,1,0,1,0,0,0,0,1,0,29163612
ibis Montevideo Rambla,Montevideo,Montevideo,Calle La Cumparsita 1473,00:00:00,00:00:00,https://esla.facebook.com/IbisMvdeo/,,https://ibismontevideorambla.comhotel.com/es/,El ibis Montevideo Rambla situado a 1 km de Ramírez ofrece alojamiento de 3 estrellas en Montevideo y cuenta con bar. Este hotel de 3 estrellas cuenta con restaurante y habitaciones con aire acondicionado WiFi gratuita y bano privado. Hay aparcamiento privado en el establecimiento.,3491388,5618243,Espacio cerrado,Todas,Familia,75,Hotel,4,0,0,1,0,0,0,1,1,1,0,24137000
Radisson Montevideo Victoria Plaza,Montevideo,Montevideo,Pza. Independencia 759,00:00:00,00:00:00,https://esla.facebook.com/RadissonMontevideo/,https://www.instagram.com/radissonvictoriaplaza/?hl=es,https://www.radissonvictoriaplaza.com.uy/home,El Radisson Montevideo Victoria Plaza esta ubicado en pleno centro de la ciudad frente a la plaza Independencia y ofrece vistas impresionantes a la bahia del puerto. Este hotel cuenta con gimnasio piscina cubierta spa salon de masajes sauna zona para correr casino y conserje.,3490568,5619950,Espacio cerrado,Todas,Familia,300,Hotel,4,1,1,1,1,1,1,1,1,1,0,29020111
Days Inn by Wyndham Montevideo,Montevideo,Montevideo,Acevedo Diaz 1821,00:00:00,00:00:00,,,https://www.daysinn.com.uy/es,Este hotel goza de una ubicación idónea en el centro de Montevideo a solo unos minutos a pie del Obelisco y del centro comercial Tres Cruces Shopping. Se facilita aparcamiento privado por un suplemento. tambien se proporciona WiFi gratuita.,3489333,5616751,Espacio cerrado,Todas,Familia,150,Hotel,3,1,0,1,1,1,0,0,0,1,0,24004840
NH Montevideo Columbia,Montevideo,Montevideo,Rambla Gran Bretana 473,00:00:00,00:00:00,,,https://www.nhhotels.com/hotel/nhmontevideocolumbia, El NH Montevideo Columbia ofrece habitaciones elegantes con WiFi gratuita en Ciudad Vieja un barrio historico de Montevideo. El establecimiento ofrece vistas panorámicas al rio de la Plata y esta a poca distancia a pie de varios lugares de interés turistico.,3490951,5620455,Espacio cerrado,Todas,Familia,160,Hotel,5,1,1,1,1,1,1,1,1,1,0,29160001
