Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefono
Antel Arena,Montevideo,Montevideo,Av Damaso A. Larrañaga entre Jose Pedro Varela y Jose Serrato ,19:00:00,23:00:00,,,https://www.antelarena.com.uy/,Lugar de espectaculos y eventos,3486306,5615554,Espacio cerrado,Todas,Grupo,500,EventoMusical,22127362
Grupocine Ejido,Montevideo,Montevideo,Ejido 1377,0:00:00,23:59:59,,,https://www.grupocine.com.uy/SIGE_CN/servlet/com.sigecn.vercomplejo?4,Salas de cine,3490506,5625711,Espacio cerrado,Todas,Grupo,6000,Cine,29014242
Grupocine Punta Carretas Shopping,Montevideo,Montevideo,Nivel 3 en Punta Carretas Shopping,0:00:00,23:59:59,,,https://www.grupocine.com.uy/SIGE_CN/servlet/com.sigecn.vercomplejo?4,Salas de cine,3490506,5625711,Espacio cerrado,Todas,Grupo,11500,Cine,29014242
Grupocine,Montevideo,Montevideo,Luis B. Cavia 2712,0:00:00,23:59:59,,,https://www.grupocine.com.uy/,Salas de cine,3490506,5625711,Espacio cerrado,Todas,Grupo,17000,Cine,29014242
Movie Montevideo,Montevideo,Montevideo,Montevideo Shopping Av. Luis Alberto de Herrera 1290,0:00:00,23:59:59,,,http://movie.com.uy/,Salas de cine,3490870,5622655,Espacio cerrado,Todas,Grupo,22500,Cine,95038350
Movie Nuevocentro,Montevideo,Montevideo,Av. Luis Alberto de Herrera 3969,0:00:00,23:59:59,,,http://movie.com.uy/,Salas de cine,3490870,5622655,Espacio cerrado,Todas,Grupo,28000,Cine,29003900
Movie,Montevideo,Montevideo,F. Garcia Cortinas 2484,0:00:00,23:59:59,,,http://movie.com.uy/,Salas de cine,3490870,5622655,Espacio cerrado,Todas,Grupo,33500,Cine,29003900
Movie Portones,Montevideo,Montevideo,Avenida Italia 5775,0:00:00,23:59:59,,,http://movie.com.uy/,Salas de cine,3488160,5615121,Espacio cerrado,Todas,Grupo,39000,Cine,95038350
Life Cinemas 21,Montevideo,Montevideo,21 de Setiembre 2838,0:00:00,23:59:59,,,http://www.lifecinemas.com.uy/,Salas de cine,3491872,5622650,Espacio cerrado,Todas,Grupo,44500,Cine,11111111
Life Cinemas Punta Carretas,Montevideo,Montevideo,Pta. Carretas Shopping Jose Ellauri 350,0:00:00,23:59:59,,,http://www.lifecinemas.com.uy/,Salas de cine,3492390,5616067,Espacio cerrado,Todas,Grupo,50000,Cine,27073037
