Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,ComidaVegge,Especialidad,Alcohol,MenuInfantil,Tipo,Telefono
Garcia,Montevideo,Montevideo,Av. Alfredo Arocena 1587,08:00:00,00:00:00,,https://www.instagram.com/garciauruguay/?hl=es,https://www.garcia.com.uy/,"Venite a lo de Garcia, para llenar esa panza vacia",3488939,5658448,Espacio cerrado,Todas,Grupo,147,1,Comida turka,1,1,Restaurantes,26002703
Don Andres,Montevideo,Montevideo,Av. Lucas Obes 1054,12:00:00,00:30:00,,,http://www.donandres.com.uy/,Veni a lo de Andres y acorta el mes,3486405,5672986,Ambos,Todas,Grupo,1620,1,Pez a la plancha,1,1,Restaurantes,23366418
El Tio Bistro,Montevideo,Montevideo,Rizal 3764,19:00:00,01:00:00,https://es-la.facebook.com/eltiobistro/,https://www.instagram.com/eltiobistro/?hl=es,https://eltiobistro.com/,Sacate una foto con el tio veni,3486405,5672986,Espacio cerrado,Mayores,Grupo,3710,1,Pollo a la brazas,1,1,Restaurantes,92070792
Hard Rock Cafe Montevideo,Montevideo,Montevideo,Rbla. Armenia 1624,12:00:00,01:00:00,,https://www.instagram.com/hardrockmontevideo/?hl=es,https://www.hardrockcafe.com/location/montevideo/pt/,Terrible cafe para arrancar o arrancar,3487983,5671338,Espacio cerrado,Todas,Grupo,4517,1,Cafe molido,1,1,Restaurantes,26284041
Carbonada,Montevideo,Montevideo,Francisco Joaquin Munioz 3100,12:00:00,00:00:00,https://www.facebook.com/carbonada/,,https://www.carbonada.com.uy/eventos-en-carbonada-men%C3%BA,El restaurante que se especializa en cocinar con carbon.,3490539,5621760,Espacio cerrado,Mayores,Grupo,7263,1,Carne carbonizada,1,1,Restaurantes,99652984
Los Yuyos,Montevideo,Montevideo,Av. Luis Alberto de Herrera 4297,12:00:00,02:00:00,,https://www.instagram.com/yuyosboliche/?hl=es,https://uy.sluurpy.com/montevideo/restaurante/6218361/los-yuyos,Un bar de gente que salio de los yuyos,3485891,5626094,Espacio cerrado,Mayores,Grupo,2617,1,Carne a los yuyos,1,1,Restaurantes,23363069
El Vivero,Montevideo,Montevideo,Patriotas 4329,18:00:00,02:00:00,,https://www.instagram.com/elvivero_uy/?hl=es,https://www.alacarta.com.uy/vivero-gastronomico-un-oasis-en-la-ciudad/,Avivate y veni bro,3485891,5618982,Espacio cerrado,Mayores,Grupo,2355,1,Coccion con vinagre,1,1,Restaurantes,97966221
Los Lentos,Montevideo,Montevideo,San Jose 909,12:00:00,23:30:00,https://www.facebook.com/loslenosmvd/?locale=es_LA,https://www.instagram.com/loslenosmvd/?hl=es,https://uy.sluurpy.com/montevideo/restaurante/6036501/los-le%C3%B1os,Veni a que te cocimenos al fuego,3485891,5626094,Espacio cerrado,Mayores,Grupo,303,1,Cocciones a fuego alto,1,1,Restaurantes,29002285
Viejo Sancho,Montevideo,Montevideo,San Jose 1229,12:00:00,00:00:00,,,https://www.saliracomer.com/index.php/s/restaurant/42,Sacate una foto con sancho panza,3485891,5626094,Espacio cerrado,Mayores,Grupo,1581,1,Panchos con salsa de soja,1,1,Restaurantes,29004063
La Fonda,Montevideo,Montevideo,Calle Perez Castellano 1422,12:00:00,23:00:00,https://www.facebook.com/lafondauy/?locale=es_LA,,https://www.minube.com/rincon/la-fonda-restaurante-a3618126,Fundamos el sabor,3485891,5626094,Espacio cerrado,Todas,Grupo,2518,1,Vegetales dulces,1,1,Restaurantes,29171559
Pachanga Taberna Vasca,Montevideo,Montevideo,San Jose 1168 primer piso,19:30:00,00:00:00,https://www.facebook.com/PacharanTabernaVasca/,https://www.instagram.com/pacharantaberna/?hl=es,http://www.pacharan.com.uy/,Comida Vasca y pachanga,3485891,5626094,Espacio cerrado,Todas,Grupo,7137,1,Comida Vasca,1,1,Restaurantes,29023519
La cocina de Pedro,Montevideo,Montevideo,Av. Gonzalo Ramirez 1483,19:30:00,23:30:00,https://www.facebook.com/LaCocinadePedro/?locale=es_LA,https://www.instagram.com/lacocina_depedro/?hl=es,https://www.alacarta.com.uy/la-cocina-de-pedro/,Pedro cocina dale gas,3491245,5625310,Espacio cerrado,Mayores,Grupo,1201,1,Tequenios,1,1,Restaurantes,93507618
La Sayaga,Montevideo,Montevideo,Pascual Costa 3879,11:30:00,00:00:00,https://www.facebook.com/LaSayagaParquePosadas/,,https://www.guias.com.uy/empresa/dona-sayaga-empanadas-y-mas-sayago-montevideo,Veni a la sayaga,3485587,5626450,Ambos,Todas,Grupo,3891,1,Comida con salsa y yuyos,1,1,Restaurantes,23367100
Dueto Cocina Urbana,Montevideo,Montevideo,Bartolomeo Mitre 1386,12:00:00,23:00:00,https://www.facebook.com/DuetoCocinaUrbana/,https://www.instagram.com/duetococinaurbana/?hl=es,,El mejor cocinero gana,3485587,5626450,Espacio cerrado,Mayores,Grupo,366,1,Comida a la master chef,1,1,Restaurantes,29153231
Es Mercat,Montevideo,Montevideo,Colon 1550,12:00:00,23:30:00,https://www.facebook.com/esmercatrestobar/,,https://esmercat.com.uy/,Lo mejor del mercato,3485587,5626450,Ambos,Mayores,Grupo,1382,1,Sin especialidad,1,1,Restaurantes,29170169
Tannat,Montevideo,Montevideo,San Jose 1065,11:45:00,23:00:00,,https://www.instagram.com/tannatmontevideo/?hl=es,https://www.minube.com/rincon/el-tannat-a3575726,Esta morfi explota como TNT,3490691,562632,Espacio cerrado,Mayores,Grupo,268,1,Picante,1,1,Restaurantes,29034806
Tandory Restaurante,Montevideo,Montevideo,Libertad 2851,19:30:00,23:30:00,,,https://www.tandory.com.uy/,Mandatory venir al Tandory,3490691,562632,Espacio cerrado,Mayores,Grupo,1893,1,Tirabuzon de pollo,1,1,Restaurantes,27096616
El Fogon,Montevideo,Montevideo,San Jose 1080,12:00:00,00:00:00,https://www.facebook.com/elfogonuruguay/,https://www.instagram.com/parrillada.elfogon/?hl=es,https://elfogon.com.uy/,Terrible fuego master,3490691,5626324,Espacio cerrado,Todas,Grupo,1462,1,Brazas armenias,1,1,Restaurantes,29000900
Bruta,Montevideo,Montevideo,Luis de la Torre 818,19:30:00,02:00:00,https://www.facebook.com/RestauranteBruta/,https://www.instagram.com/restaurantebruta/?hl=es,https://uy.sluurpy.com/montevideo/restaurante/6034604/bruta,Bruta morfi estimados,3490691,562632,Ambos,Mayores,Grupo,3808,1,Sin especialidad,1,1,Restaurantes,91251252
Socrates Bar,Montevideo,Montevideo,Av. Luis Alberto de Herrera 4302 a 4324,17:00:00,02:00:00,https://www.facebook.com/socratesbar/,https://www.instagram.com/socrates_bar_/?hl=es,https://uy.latinoplaces.com/montevideo/socrates-bar-1169674,Comida de otro siglo,3485859,5626111,Ambos,Mayores,Grupo,3968,0,Comida Clasica,1,0,Bares,23375332
Hilario Bar,Montevideo,Montevideo,Av. Millán 3686,19:30:00,00:30:00,https://www.facebook.com/hilariobarprado/?locale=es_LA,https://www.instagram.com/hilariobar_/?hl=es,https://uy.sluurpy.com/montevideo/restaurante/6219251/hilario-bar,El Bar hilarious,3485859,5626111,Espacio cerrado,Mayores,Grupo,1468,0,Comida Hilarante,1,0,Bares,23377984
Bakers Bar,Montevideo,Montevideo,Dr. Pablo de Maria 1198,19:00:00,02:00:00,https://m.facebook.com/people/Bakers-Bar/100063563342131/,https://www.instagram.com/bakers_mvd/?hl=es,,Aca poder dejar tu bici,3485859,5626111,Ambos,Todas,Grupo,2540,0,Papas Fritas,1,0,Bares,92201198
Clandestino Bar,Montevideo,Montevideo,Eduardo Victor Haedo 1997,19:30:00,02:00:00,https://www.facebook.com/ClandestinoBarElBarDelFernet/?locale=es_LA,https://www.instagram.com/clandestino__bar/?hl=es,https://salimos.uy/listado/clandestino-bar/,Terrible morfi en la clande palabra,3485859,5626111,Espacio cerrado,Todas,Grupo,413,0,Burguer con papas,1,0,Bares,92118228
Bar Roda Boulevard,Montevideo,Montevideo,Blvr. Espania 2246,18:00:00,02:00:00,https://www.facebook.com/barrodo/?locale=es_LA,https://www.instagram.com/bar.rodo/?hl=es,https://tunocheuruguay.com/lugares/bar-rodo/,Tan rica la comida que salis rodando,3490975,5623737,Espacio cerrado,Mayores,Grupo,2178,0,Metro de muzza,1,0,Bares,92301086
PradoBar,Montevideo,Montevideo,Dr Carlos Maria de Pena 4102,12:00:00,00:00:00,https://www.facebook.com/pradobar.uy/,,https://salimos.uy/listado/prado-bar/,El mejor bar del prado encima enrregado full security,3485578,5627382,Espacio cerrado,Todas,Grupo,4169,0,Pollo relleno,1,0,Bares,29158005
Te acordas...???,Montevideo,Montevideo,Dr. Pablo de Maria 1203,16:00:00,03:00:00,https://www.facebook.com/teacordasbar/,https://www.instagram.com/te_acordasbar/?hl=es,https://www.youtube.com/watch?v=pQdaqBr4aOE,Si no me acuerdo no paso,3485578,5627382,Ambos,Todas,Grupo,2583,0,Pezcado frito,1,0,Bares,91501018
Bar Fun Fun,Montevideo,Montevideo,Sede CAF Ciudadela 1229,18:00:00,02:00:00,https://www.facebook.com/bar.funfun/,,https://barfunfun.com/,Veni en el run run,3490842,5627044,Ambos,Todas,Grupo,2411,0,Papas con chedar,1,0,Bares,22097458
Jackson Bar,Montevideo,Montevideo,Juan D. Jackson 1220,21:30:00,06:00:00,,https://www.instagram.com/jacksonbar_/?hl=es,https://tunocheuruguay.com/lugares/jackson-bar/,Aca para el Jack Sparrow yo por vos,3490842,5627044,Espacio cerrado,Mayores,Grupo,4125,0,Pezcado con verduas,1,0,Bares,29171760
Leon de Caprera,Montevideo,Montevideo,Av. Luis Alberto de Herrera 4096,09:00:00,23:00:00,,,https://uy.latinoplaces.com/montevideo/leon-de-caprera-152708,Para chupar como el rey de la selva,3486102,5625618,Espacio cerrado,Mayores,Grupo,3800,0,Cerveza cacera,1,0,Bares,26289732
Fenix Bar,Montevideo,Montevideo,Juan Carlos Gimez 1251,18:00:00,02:00:00,https://www.facebook.com/FENIX.Cafe.Bar/,https://www.facebook.com/FENIX.Cafe.Bar/,https://www.youtube.com/watch?v=uYKl6ZEkC5w,De aca salis como alguien nuevo,3486102,5625618,Ambos,Mayores,Grupo,274,0,Tragos personalizados,1,0,Bares,22034072
Volve Mi Negra,Montevideo,Montevideo,Rbla. Pdte. Wilson,21:00:00,06:00:00,https://www.facebook.com/people/Volv%C3%A9-Mi-Negra/100076843583292/,,https://es.foursquare.com/v/volv%C3%A9-mi-negra/4e9a2fee6da1cbe0b841e321,Te tranio,3491568,5623914,Ambos,Todas,Grupo,1394,0,Asadito,1,0,Bares,93337647
La Oficina bar,Montevideo,Montevideo,Av. Gral. Flores 3337,11:00:00,03:30:00,https://www.facebook.com/laoficinabarmontevideo/?locale=es_LA,,https://www.guias.com.uy/empresa/la-oficina-bar-mercado-modelo-y-bolivar-montevideo,Que decirte somos modernos,3486713,562421,Espacio cerrado,Mayores,Grupo,1006,1,Verduras con salsa de cebolla,1,0,Bares,29169585
