Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefonos
Hospital Maciel,Montevideo,Montevideo,Hospital Maciel 25 de Mayo 174,00:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-Maciel-5212,Centro de Salud,3490833,5628194,Espacio cerrado,Todas,Grupo,3788,Hospitales,29153000
Hospital Pasteur,Montevideo,Montevideo,Jose Antonio Cabrera,00:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-Pasteur-5213,Centro de Salud,3483761,5621863,Espacio cerrado,Todas,Grupo,3917,Hospitales,25088131
Hospital Espaniol,Montevideo,Montevideo,Av. Gral. Jose Garibaldi 1729,00:00:00,23:59:59,,,http://www.hospitalespanol.com.uy/portal/servlet/com.portal.kad.inicio,Centro de Salud,3483761,5621863,Espacio cerrado,Todas,Grupo,4291,Hospitales,22097899
Hospital Universitario Udelar,Montevideo,Montevideo,Avenida Italia esq Las Heras,00:00:00,23:59:59,,,https://www.hc.edu.uy/,Centro de Salud,3489057,5622206,Espacio cerrado,Todas,Grupo,654,Hospitales,24871515
Hospital Italiano de Montevideo,Montevideo,Montevideo,Consultorio 15 Bv. Gral. Artigas 1632,00:00:00,23:59:59,,,https://sociedadmedicauniversal.com/sucursales/,Centro de Salud,3489057,5622206,Espacio cerrado,Todas,Grupo,3802,Hospitales,24866050
Sanatorio Americano,Montevideo,Montevideo,Doctor Isabelino Bosch 2466,00:00:00,23:59:59,,,https://www.americano.com.uy/,Centro de Salud,3489057,5622206,Espacio cerrado,Todas,Grupo,3604,Hospitales,27086041
Mutualista Hospital Evangelico,Montevideo,Montevideo,Mateo Vidal,00:00:00,23:59:59,https://www.facebook.com/MutualistaHospitalEvangelico/?locale=es_LA,https://www.instagram.com/mutualistahospitalevangelico/?hl=es,https://www.hospitalevangelico.com.uy/,Centro de Salud,3489057,5622206,Espacio cerrado,Todas,Grupo,118,Hospitales,24872319
Hospital Catolico,Montevideo,Montevideo,Avenida Buceo,00:00:00,23:59:59,https://www.facebook.com/mutualistacirculocatolico/,,https://www.circulocatolico.com.uy/,Centro de Salud,3490833,5628194,Espacio cerrado,Todas,Grupo,3686,Hospitales,22091073
Hospital Vilardebe,Montevideo,Montevideo,Av. Millan 2515,00:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-Vilardebo-5227,Centro de Salud,3490833,5628194,Espacio cerrado,Todas,Grupo,1612,Hospitales,11111111
Unidad de Internacion del Crenadecer,Montevideo,Montevideo,Camino Martin Garcia 1363,00:00:00,23:59:59,,,https://nicelocal.uy/montevideo/medical/unidad_de_internacion_del_crenadecer_ex_sanatorio_canzani/,Centro de Salud,3490833,5628194,Espacio cerrado,Todas,Grupo,965,Hospitales,22080121
Sanatorio Etchepare,Montevideo,Montevideo,Bv. Gral. Artigas 4000,00:00:00,23:59:59,,,https://uy.todosnegocios.com/sanatorio-etchepare-2209-9237,Centro de Salud,3490833,5628194,Espacio cerrado,Todas,Grupo,1926,Hospitales,22099237
Policlinica Hospital Evangelico,Montevideo,Montevideo,Av. Carlos Maria Ramirez 420,00:00:00,23:59:59,https://www.hospitalevangelico.com.uy/,,,Centro de Salud,3485991,5629878,Espacio cerrado,Todas,Grupo,3445,Hospitales,23048305
Centro Hospitalario Pereira Rossell,Montevideo,Montevideo,Bulevar Artigas 1590 y Lord Ponsoby 2410,00:00:00,23:59:59,,,http://www.pereirarossell.gub.uy/#!/-bienvenido/,Centro de Salud,3489880,5616645,Espacio cerrado,Todas,Grupo,1469,Hospitales,27087741
Centro Hospitalario del Norte Gustavo SaintBois,Montevideo,Montevideo,Camino Fauquet 6358,00:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-General-Gustavo-Saint-Bois--5215,Centro de Salud,3478828,5624331,Espacio cerrado,Todas,Grupo,2853,Hospitales,23228080
Vilardeba,Montevideo,Montevideo,Camino Aguada,00:00:00,23:59:59,,,,Centro de Salud,3487787,5618361,Espacio cerrado,Todas,Grupo,4038,Hospitales,11111111
Direccion Nacional de Sanidad de las Fuerzas Armadas,Montevideo,Montevideo,Av. 8 de Octubre 3020,00:00:00,23:59:59,,,http://www.dnsffaa.gub.uy/,Centro de Salud,3488366,5615742,Espacio cerrado,Todas,Grupo,3617,Hospitales,24876666
Direccion Nacional de la Sanidad Policial Hospital Policial,Montevideo,Montevideo,Bv. Jose Batlle y Ordoniez 3574,00:00:00,23:59:59,,,https://sanidad.minterior.gub.uy/,Centro de Salud,3486845,5616333,Espacio cerrado,Todas,Grupo,3681,Hospitales,20301000
D.N.AA.SS,Montevideo,Montevideo,Bv. Jose Batlle y Ordoniez 3574,00:00:00,23:59:59,,,https://www.dnsffaa.gub.uy/,Centro de Salud,3486724,5623392,Espacio cerrado,Todas,Grupo,3764,Hospitales,11111111
Sanatorio Maternidad Casmu,Montevideo,Montevideo,Av. Gral. Garibaldi 2644,00:00:00,23:59:59,,,http://casmu.com.uy/,Centro de Salud,3486724,5623392,Espacio cerrado,Todas,Grupo,3654,Hospitales,24872125
Hospital Britanico de Montevideo,Montevideo,Montevideo,Av. Italia 2420,00:00:00,23:59:59,https://www.facebook.com/hospitalbritanicouruguay/,,http://www.hospitalbritanico.com.uy/,Centro de Salud,3486724,5623392,Espacio cerrado,Todas,Grupo,3218,Hospitales,24871020
Farmacia Machado,Montevideo,Montevideo,Bv. Gral. Artigas 2947,00:00:00,23:59:59,https://www.facebook.com/FarmaciaMachado/?locale=es_LA,,https://uy.todosnegocios.com/farmacia-machado-2203-5308,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,614,Farmacias,22035308
Farmacia Larraniaga,Montevideo,Montevideo,Av. Luis Alberto de Herrera 3149,00:00:00,23:59:59,,,https://uy.latinoplaces.com/montevideo/farmacia-larranaga-668581,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,454,Farmacias,24817976
Farmacia Zeus,Montevideo,Montevideo,Av. Gral. Flores 2654,00:00:00,23:59:59,,,https://www.planetauruguay.com/farmacia-zeus-montevideo-F1608C707,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,2704,Farmacias,11111111
Farmacia Jardin,Montevideo,Montevideo,Bvar. Jose Batlle y Ordoniez 3449,00:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-jardin-2487-0940,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,3638,Farmacias,24870940
Farmacia Arapey,Montevideo,Montevideo,Av. Gral. Flores 3143,00:00:00,23:59:59,,,http://www.farmaciasarapey.com/,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,642,Farmacias,22098556
Farmacia Pigalle suc. 8 de Octubre,Montevideo,Montevideo,Avda. 8 de Octubre 2547 esquina Berro ,00:00:00,23:59:59,,,http://www.pigalle.com.uy/,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,2469,Farmacias,24034030
Farmacia,Montevideo,Montevideo,Avenida Gral. Flores,00:00:00,23:59:59,,,,Medicamentos disponibles,3486722,5623392,Espacio cerrado,Todas,Grupo,1162,Farmacias,11111111
Farmacia Seneca,Montevideo,Montevideo,Av. Gral. Jose Garibaldi 2503,00:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-seneca-2487-7389,Medicamentos disponibles,3488560,5623453,Espacio cerrado,Todas,Grupo,2531,Farmacias,24877389
Farmacia Machado 2,Montevideo,Montevideo,Bv. Gral. Artigas 1999,00:00:00,23:59:59,https://www.facebook.com/FarmaciaMachado/?locale=es_LA,,https://www.guias.com.uy/empresa/farmacia-machado-2-tres-cruces-montevideo,Medicamentos disponibles,3488560,5623450,Espacio cerrado,Todas,Grupo,3985,Farmacias,24013525
Farmacia Corominas,Montevideo,Montevideo,Av. 8 de Octubre 2689,00:00:00,23:59:59,,,https://www.planetauruguay.com/farmacia-corominas-montevideo-F1B0FC000,Medicamentos disponibles,3488560,5623450,Espacio cerrado,Todas,Grupo,4218,Farmacias,24800017
Farmacia Pose,Montevideo,Montevideo,Av. Gral. San Martin 3680,00:00:00,23:59:59,https://www.facebook.com/farmaciapose/,,https://uy.todosnegocios.com/farmacia-pose-2216-1033,Medicamentos disponibles,3488560,5623453,Espacio cerrado,Todas,Grupo,1302,Farmacias,22161033
Farmacia Gilda,Montevideo,Montevideo,Av. Millan 2744,00:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-gilda-2203-4901,Medicamentos disponibles,3488560,5623453,Espacio cerrado,Todas,Grupo,1285,Farmacias,22034901
farmacia El Cairo,Montevideo,Montevideo,Pres. Ing. Jose Serrato 3450,00:00:00,23:59:59,,,https://uy.eldirectorio.co/empresas/montevideo/farmacia-el-cairo/farmacia-el-cairo-14980,Medicamentos disponibles,3488560,5623453,Espacio cerrado,Todas,Grupo,4065,Farmacias,22169797
Farmacia Goes,Montevideo,Montevideo,Av. Gral. Flores 2837,00:00:00,23:59:59,https://www.facebook.com/FarmaciaGoes2837/,https://www.instagram.com/farmacia_goes/?hl=es-la,https://uy.latinoplaces.com/montevideo/farmacia-goes-1132662,Medicamentos disponibles,3488560,5623453,Espacio cerrado,Todas,Grupo,3999,Farmacias,97263195
Farmacia El Tunel,Montevideo,Montevideo,Avelino Miranda 2615 esquina Av. Italia,00:00:00,23:59:59,,,http://www.eltunel.com.uy/,Medicamentos disponibles,3488560,5623453,Espacio cerrado,Todas,Grupo,3582,Farmacias,24068096
