Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefonos
Hospital Maciel,Montevideo,Montevideo,Hospital Maciel 25 de Mayo 174 11000 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-Maciel-5212,• Se requiere una cita • Limitadas a ciertos pacientes • Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipNhGWoKlO448hAFyeVHRtqEPInhrX8teg5ggeSH=w687-h240-k-no,3490833,5628194,Espacio cerrado,Todas,Grupo,10,,Hospitales,29153000
Hospital Pasteur,Montevideo,Montevideo,4VF6+XJ9 José Antonio Cabrera 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-Pasteur-5213,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipM5HNzXl78jtKlbHXP_fJ3igHRB3iJT0W4ya3KJ=w408-h306-k-no,3483761,5621863,Espacio cerrado,Todas,Grupo,10,,Hospitales,25088131
Hospital Español,Montevideo,Montevideo,Av. Gral. José Garibaldi 1729 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.hospitalespanol.com.uy/portal/servlet/com.portal.kad.inicio,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipM5sy4Ge4xBIZfL6ZHEC9HNFy6Lr6lbomV8CvSN=w408-h506-k-no,3483761,5621863,Espacio cerrado,Todas,Grupo,10,,Hospitales,22097899
Hospital Universitario | UDELAR,Montevideo,Montevideo,Av. Italia S 11600 N Departamento de Montevideo,0:00:00,23:59:59,,,https://www.hc.edu.uy/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipMsEW0WLIZKsQp2La64CMVjSpUfAY05CVAtUl4W=w408-h408-k-no,3489057,5622206,Espacio cerrado,Todas,Grupo,10,,Hospitales,24871515
Hospital Italiano de Montevideo,Montevideo,Montevideo,consultorio 15 Bv. Gral. Artigas 1632 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://sociedadmedicauniversal.com/sucursales/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipMw_6SiCaBsYrUI4gHH2BzCM6kiyM7GdBoqwJJO=w408-h544-k-no,3489057,5622206,Espacio cerrado,Todas,Grupo,10,,Hospitales,24866050
Sanatorio Americano,Montevideo,Montevideo,Dr. Isabelino Bosch 2466 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.americano.com.uy/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipMmg4gSmlnzCig_jPm2YCzZL4n7QxKeWoEeIJ0A=w408-h306-k-no,3489057,5622206,Espacio cerrado,Todas,Grupo,10,,Hospitales,27086041
Mutualista Hospital Evangélico,Montevideo,Montevideo,4V93+J7H Mateo Vidal 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/MutualistaHospitalEvangelico/?locale=es_LA,https://www.instagram.com/mutualistahospitalevangelico/?hl=es,https://www.hospitalevangelico.com.uy/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipOFGUBrvkJAQ-RMXMfCJGT-ewKrInv3qJ7IRa-_=w426-h240-k-no,3489057,5622206,Espacio cerrado,Todas,Grupo,10,,Hospitales,24872319
Hospital Catolico,Montevideo,Montevideo,4R6P+H4Q 11600 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/mutualistacirculocatolico/,,https://www.circulocatolico.com.uy/,• Se recomienda traer tapabocas,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O79mLVstKQ15dJFAGJgrhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=133.26682&pitch=0&thumbfov=100,3490833,5628194,Espacio cerrado,Todas,Grupo,10,,Hospitales,22091073
Hospital Vilardebó,Montevideo,Montevideo,Av. Millán 2515 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.asse.com.uy/contenido/Hospital-Vilardebo-5227,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipOUEr9ZGJB5uwKQ726o9eIqQppbLCEFccXk9PS4=w408-h306-k-no,3490833,5628194,Espacio cerrado,Todas,Grupo,10,,Hospitales,
Unidad de Internación del Crenadecer. Ex Sanatorio Canzani,Montevideo,Montevideo,C. Martín García 1363 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://nicelocal.uy/montevideo/medical/unidad_de_internacion_del_crenadecer_ex_sanatorio_canzani/,• Se recomienda traer tapabocas,https://lh5.googleusercontent.com/p/AF1QipPcSKxoXi4SAfXjcn9VuzLmbbD3-KR1Kd-vq5db=w408-h408-k-no,3490833,5628194,Espacio cerrado,Todas,Grupo,10,,Hospitales,22080121
